"MGI_Symbol"	"SRR8867570"	"SRR8867571"	"SRR8867572"	"SRR12554274"	"SRR12554275"	"SRR12554276"	"SRR3143894"	"SRR3143897"	"SRR11294120"	"SRR11294121"	"SRR11294122"	"SRR5809472"	"SRR5809473"	"SRR5809474"	"SRR5809475"	"SRR6910771"	"SRR6910772"	"SRR6910773"	"SRR5809464"	"SRR5809465"	"SRR5809466"	"SRR5809467"	"SRR6910774"	"SRR6910775"	"SRR6910776"	"SRR12554271"	"SRR12554272"	"SRR12554273"
"Sypl2"	263.246638972103	191.545791154926	116.261588165687	145.796723848337	231.760716990807	212.506539646339	212.831516702931	210.850656873635	242.291430196678	216.996845111961	237.237725400476	142.070232347717	172.650934692936	101.498694716991	216.438055636806	149.79844824329	114.527424287248	120.77571598258	46.7215129771	69.8594186149477	68.1660593690797	54.0974791621744	65.2134362988633	83.730858033097	70.5692415208179	52.006943249583	71.7097360208632	64.0444885633391
"Rassf6"	26.6343658254128	30.8234606456203	0.985267696319378	29.907020276582	24.0866651371941	19.274416339909	8.29628101090886	7.05310295880116	7.3421645514145	16.6146076303822	9.44972071825795	6.76524915941508	57.5503115643121	10.1498694716991	16.0324485656893	15.8078764477844	5.41683763520768	13.1614562288709	4.67215129771	0	0	6.01083101801938	3.62296868327018	0.820890765030363	0	0	0.339856568819257	0
"Dzip1"	46.4552892303712	37.4284879268246	30.5432985859007	48.8481331184173	35.8362578870449	32.2053538844049	56.1594406892292	66.4476541908109	73.911123150906	61.9271738950608	71.1215822479414	27.0609966376603	102.311665003221	0	48.0973456970679	42.1543371940918	31.7271918633593	44.9037918396773	4.67215129771	26.8690071595953	26.2177151419537	24.0433240720775	18.1148434163509	19.7013783607287	19.759387625829	11.2245201258093	25.149386092625	14.981166915401
"Slc4a5"	3.09701928202475	0.733891920133816	2.95580308895813	0	0.29373981874627	2.43979953669734	25.5270184951042	15.2198537532025	15.6632843763509	13.5937698794036	17.4073802704752	13.5304983188302	25.5779162508054	50.7493473584957	16.0324485656893	18.0661445117536	8.51217342675492	6.96782976822579	4.67215129771	5.37380143191905	0	0	0	7.38801688527326	0.940923220277571	2.61905469602216	1.69928284409628	2.24717503731014
"Foxm1"	109.634482583676	88.8009223361917	32.5138339785395	71.7768486637968	99.5777985549854	76.6097054522966	40.2050541297891	41.9474018076069	55.3109729539892	66.4584305215286	57.1956780315613	54.1219932753206	31.9723953135067	30.4496084150974	24.0486728485339	32.3685089168919	18.5720147492835	42.5811819169354	9.34430259542001	21.4952057276762	20.974172113563	12.0216620360388	18.1148434163509	7.38801688527326	11.2910786433309	10.1020681132283	14.2739758904088	10.1122876678956
"Lox"	436.060314909084	193.013574995193	447.311534128998	427.670389955123	309.895508777315	321.077619029371	202.939797036078	260.222377585243	196.770009977909	361.997057158933	284.983682713779	236.783720579528	159.861976567533	91.3488252452922	152.308261374048	197.974833607967	61.9067158309449	152.518051593387	56.06581557252	32.2428085915143	36.7048011987352	6.01083101801938	40.7583976867895	50.0743366668521	11.2910786433309	32.1769576939866	35.0052265883834	27.3406296206067
"Col8a1"	241.56750399793	128.431086023418	192.127200782279	303.307030638336	119.845846048478	143.948172665143	62.2221075818165	96.8873616972159	71.9532126038621	169.1669140548	202.920318581539	473.567441159055	223.806767194547	101.498694716991	248.502952768184	276.261459825566	92.0862397985305	116.904699444677	0	5.37380143191905	0	0	12.6803903914456	28.7311767760627	60.2190860977646	26.9388483019423	21.0711072667939	27.7151587934918
"Sycp1"	20.4403272613633	20.5489737637468	16.7495508374294	14.7042849693195	18.7993483997613	24.6419753206432	20.1025270648946	13.3637740272022	22.5159712910045	21.6493372153464	18.4020877145023	20.2957474782452	38.366874376208	30.4496084150974	48.0973456970679	24.0881926823382	19.3458486971703	20.1292859970967	4.67215129771	10.7476028638381	10.4870860567815	12.0216620360388	6.34019519572282	9.85068918036435	11.2910786433309	4.1156573794634	10.1956970645777	5.99246676616038
"Pkn3"	5.57463470764454	4.40335152080289	10.8379446595132	7.4767550691455	4.11235746244778	7.31939861009203	35.7378258931459	47.8868569308079	47.4793307658138	62.4306468535572	55.7036168655205	40.5914949564905	57.5503115643121	81.1989557735931	40.0811214142232	45.9181173007071	23.9888523844911	57.2910447609676	0	16.1214042957572	31.4612581703445	18.0324930540581	20.8320699288035	14.7760337705465	14.1138483041636	15.714328176133	16.6529718721436	8.98870014924057
"Mad2l1"	123.261367424585	89.5348142563255	97.5415019356184	83.9888819434012	95.7591809112839	134.188974518354	12.7635092475521	15.5910696984026	18.6001501969167	16.6146076303822	16.9100265484616	6.76524915941508	19.183437188104	30.4496084150974	8.01622428284465	13.5496083838152	7.73833947886811	10.838846306129	9.34430259542001	0	5.24354302839075	12.0216620360388	4.52871085408773	4.92534459018218	1.88184644055514	0	3.39856568819257	4.49435007462029
"Nek2"	86.097136040288	31.5573525657541	42.3665109417333	53.0849609909331	56.6917850180301	67.8264271201862	129.868706593843	106.538976272418	186.980457242689	158.090508967879	146.719347994005	209.722723941867	268.568120633456	274.046475735877	232.470504202495	231.848854567505	238.340855949138	212.131706277096	74.75442076336	16.1214042957572	41.948344227126	72.1299722162325	64.3076941280457	59.9250258472165	41.4006216922131	52.006943249583	55.7364772863581	43.8199132275478
